,address,business_dba,business_type,city,latitude,longitude,zip_code
667,15015 US 40 HIGHWAY ,DICARLO'S MUSTARD SEED,RESTAURANT-BAR,Kansas City,39.035582,-94.414804,15015
668,1803 W 39TH STREET,"BLUE KOI NOODLES, DUMPLINGS, & FINE TEAS",RESTAURANT-BAR,Kansas City,39.057279,-94.606211,64111
669,3118 E TRUMAN ROAD ,ORANGE CAB COMPANY,TLS VEHICLE,Kansas City,39.094529,-94.545626,64127
670,8047 WORNALL ROAD ,BURGGRAF TIRE AND AUTOMOTIVE,TIRE DEALER,Kansas City,38.981569,-94.594695,64114
671,2630 NE VIVION ROAD ,WALGREENS #4406,PACKAGE,Kansas City,39.187425,-94.547102,64119
672,2 NE 82ND TERRACE ,NAWS-NORTHLAND ANIMAL WELFARE SOCIETY,NON PROFIT ORGINIZATION,Kansas City,39.243738,-94.580201,64118
673,101 W 22ND STREET ,GRUNAUER RESTAURANT & BAR,RESTAURANT-BAR,Kansas City,39.087739,-94.584991,64108
674,409 GREGORY BLVD,"CLASSIC COOKIE, THE",RESTAURANT-BAR,Kansas City,38.999565000000004,-94.594,64114
675,9301 BLUE RIDGE BLVD ,OTTO SERVICE,TIRE DEALER,Kansas City,38.955787,-94.505934,64138
676,2600 INDEPENDENCE BLVD ,SPEEDY CASH 3,SHORT TERM LOAN,Kansas City,39.106338,-94.55054,64124
677,3811 67TH STREET,FREEWAY MARKET,PACKAGE,Kansas City,39.004603,-94.542022,64132
678,451 NE 94TH STREET ,KC COMPLETE AUTO SERVICE,TIRE DEALER,Kansas City,39.264173,-94.574461,64155
679,6225 WINNER ROAD ,TAQUERIA  EL CORITA,RESTAURANT-BAR,Kansas City,39.104265000000005,-94.509197,64125
680,2021 TRUMAN ROAD ,LA SALSA MEXICAN RESTAURANT,RESTAURANT-BAR,Kansas City,39.094913,-94.557512,64127
681,10300 N AMBASSADOR DRIVE ,RESIDENCE INN BY MARRIOTT (KCI),RESTAURANT-BAR,Kansas City,39.280033,-94.67061,10300
682,7500 OAK STREET 6411,CALVARY EVANGELICAL LUTHERAN CHURCH,NON PROFIT ORGINIZATION,Kansas City,38.991664,-94.584946,64114
683,3737 TROOST AVENUE ,DELASALLE EDUCATION CENTER,NON PROFIT ORGINIZATION,Kansas City,39.058627,-94.57194399999999,64109
684,8500 E 40 HIGHWAY ,TRIBUTES,RESTAURANT-BAR,Kansas City,39.051336,-94.515438,64129
685,8158 NW PRAIRIE VIEW ROAD,ARTHUR'S LOUNGE,TAVERN,Kansas City,39.242447,-94.65883199999999,64151
686,8906 WORNALL ROAD,PRINCESS GARDEN RESTAURANT,RESTAURANT-BAR,Kansas City,38.966363,-94.595496,64114
687,3724 LOCUST STREET ,KANSAS CITY DIVERSITY COALITION,NON PROFIT ORGINIZATION,Kansas City,39.059488,-94.580129,64109
688,101 22ND STREET ,FIORELLA'S  JACK STACK FRIEGHT HOUSE,RESTAURANT-BAR,Kansas City,39.087739,-94.584991,64108
689,8437 WORNALL ROAD 6411,WALDO FINANCIAL,SHORT TERM LOAN,Kansas City,38.975336999999996,-94.594985,64114
690,8500 NW RIVER PARK DRIVE ,JK WINES,WHOLESALER,Kansas City,39.187052,-94.677891,64152
691,560 WESTPORT ROAD ,Q HOTEL & SPA,TAVERN,Kansas City,39.052015999999995,-94.593293,64111
692,7648 TROOST ,MIDAS AUTO SERVICE,TIRE DEALER,Kansas City,38.988021999999994,-94.575856,64131
693,7301 87TH STREET ,BRAVO! CUCINA ITALIANA,RESTAURANT-BAR,Kansas City,39.251567,-94.66476800000001,64153
694,5011 MAIN STREET ,CVS/PHARMACY #8567,PACKAGE,Kansas City,39.035999,-94.587225,64112
695,3809 BROADWAY STREET,CHEZ CHARLIE,TAVERN,Kansas City,39.058351,-94.590597,64111
696,104 W 9TH STREET ,STAND OF COLORS,NON PROFIT ORGINIZATION,Kansas City,39.103648,-94.584479,64105
697,8241 WORNALL ROAD ,CASH AMERICA PAWN OF KC 8,SHORT TERM LOAN,Kansas City,38.977888,-94.59486600000001,64114
698,207 SOUTHWEST BLVD,MANNY'S,RESTAURANT-BAR,Kansas City,39.089110999999995,-94.58681,64108
699,2700 GUINOTTE ,JACOB RIEGER & COMPANY,MANUFACTURER,Kansas City,39.119257,-94.54910600000001,64120
700,4071 PRATHER ROAD,HIWAY HOUSE,TAVERN,Kansas City,39.169108,-94.54986,64116
701,1517 MAIN STREET ,EXPRESS LOAN,SHORT TERM LOAN,Kansas City,39.095268,-94.583375,64108
702,51 14TH STREET ,BRISTOL BAR & GRILL,RESTAURANT-BAR,Kansas City,39.097198,-94.58248499999999,64106
703,10475 BLUE RIDGE BLVD,ALDI #64,PACKAGE,Kansas City,38.934235,-94.508116,10475
704,1801 BALTIMORE ,ART OF PIZZA,RESTAURANT-BAR,Kansas City,39.091698,-94.584685,64108
705,2001 PENNSYLVANIA ,PINNACLE  IMPORTS OF KANSAS CITY,WHOLESALER,Kansas City,39.089231,-94.591107,64108
706,205 W 65TH STREET ,COUNTRY CLUB CONGREGATIONAL CHURCH,NON PROFIT ORGINIZATION,Kansas City,39.010383000000004,-94.591842,64113
707,3108 NE 90TH TERRACE ,NORTHLAND TRANSPORTATION,TLS VEHICLE,Kansas City,39.255368,-94.5411,64156
708,100 W 26TH ,AMERICAN FOOD & VENDING SERVICE (LIBERTY MEMORIAL),RESTAURANT-BAR,Kansas City,39.079738,-94.586177,64108
709,900 W 48TH PLACE,JJ 'S BAR & GRILL,RESTAURANT-BAR,Kansas City,39.04072,-94.597525,64112
710,5612 RIDGEWAY AVENUE ,KCM TRANSPORTATION,TLS VEHICLE,Kansas City,39.019712,-94.443035,64133
711,5500 INDEPENDENCE AVENUE ,MUSTANG PLUS ENTERPRISE,TIRE DEALER,Kansas City,39.105196,-94.51782,64123
712,13612 WASHINGTON AVENUE ,PIZZA SHOPPE.,RESTAURANT-BAR,Kansas City,38.882437,-94.601001,13612
713,8600 WARD PARKWAY ,AMC THEATRES WARD PARKWAY 14,RESTAURANT-BAR,Kansas City,38.972114000000005,-94.605673,64114
714,5415 NE ANTIOCH ROAD ,SEARS AUTO CENTER #6201,TIRE DEALER,Kansas City,39.19251,-94.548665,64119
715,3429 BRUCE RANDOLPH AVENUE ,PEDAL HOPPER,TLS VEHICLE,Kansas City,39.764477,-104.946611,80205
716,510 64TH STREET ,FAIRCHILD CHAUFFEURED,TLS VEHICLE,Kansas City,39.210618,-94.58729100000001,64118
717,3507 12TH STREET ,A/3 TIRE & WHEEL,TIRE DEALER,Kansas City,39.098444,-94.540601,64127
718,241 LINWOOD BLVD,COSTCO WHOLESALE #375,PACKAGE,Kansas City,39.068283,-94.58137099999999,64111
719,13100 HOLMES ROAD 6414,QUIK TRIP #197,PACKAGE,Kansas City,38.889542999999996,-94.586066,13100
720,4049 CENTRAL STREET ,KANSAS CITY FAMILY MUSIC FEST,NON PROFIT ORGINIZATION,Kansas City,39.052151,-94.588015,64111
721,931 BROADWAY ,"MAJESTIC RESTAURANT, THE",RESTAURANT-BAR,Kansas City,39.102668,-94.588255,64105
722,5900 NW TIFFANY SPRINGS PARKWAY,TIFFANY GREENS GOLF CLUB,TAVERN,Kansas City,39.272414000000005,-94.664465,64153
723,614-620 W 48TH ,ZOCALO,RESTAURANT-BAR,Kansas City,39.040623,-94.59451999999999,64112
724,3434 MAIN STREET ,MID-AMERICAN TITLE LOAN,SHORT TERM LOAN,Kansas City,39.064682,-94.585666,64111
725,4905 NW 87TH STREET ,FIRST CLASS TRANSPORTATION,TLS VEHICLE,Kansas City,39.252342,-94.63690799999999,64154
726,1403 39TH STREET ,MO BREW,RESTAURANT-BAR,Kansas City,39.057183,-94.602921,64111
727,523 75TH STREET ,CAMPBELL'S AUTOMOTIVE,TIRE DEALER,Kansas City,38.992483,-94.595578,64114
728,1014 W 39TH STREET ,CENTER FOR SPRITUAL LIVING,NON PROFIT ORGINIZATION,Kansas City,39.057078000000004,-94.59916,64111
729,9770 NW PRAIRIE VIEW ROAD,RUBY TUESDAY,RESTAURANT-BAR,Kansas City,39.272177,-94.670536,64153
730,2020 BALTIMORE AVENUE,TWENTY 20,RESTAURANT-BAR,Kansas City,39.088032,-94.584926,64108
731,311 74TH STREET ,SINGER AUTOMOTIVE,TIRE DEALER,Kansas City,38.994115,-94.593843,64114
732,414 W 9TH STREET ,LOS CORRALS,RESTAURANT-BAR,Kansas City,39.103823,-94.589047,64105
733,7604 E TRUMAN ROAD ,C & H AUTO PARTS - TRUMAN RD,SALVAGE YARD,Kansas City,39.093538,-94.491511,64126
734,6811 N FISK ,LUXURY AIRPORT TRANSPORTation,TLS VEHICLE,Kansas City,39.218464000000004,-94.656953,64151
735,4141 TRUMAN ROAD ,JETS AUTO SERVICE,TIRE DEALER,Kansas City,39.093994,-94.53352199999999,64127
736,3101 MERCIER STREET ,WORLDWIDE WINE & SPIRITS OF MISSOURI,WHOLESALER,Kansas City,39.052403000000005,-94.601964,64111
737,8201 23RD STREET ,XO BRANDS,PACKAGE,Kansas City,39.081154,-94.486846,64129
738,1606 75TH STREET ,GOMERS STATE LINE,PACKAGE,Kansas City,38.992952,-94.607016,64114
739,810 SOUTHWEST BLVD,EL PUEBLITO RESTAURANT,RESTAURANT-BAR,Kansas City,39.084569,-94.594135,64108
740,3201 E 51ST STREET ,SHORT STOP MINI MART,PACKAGE,Kansas City,39.033483000000004,-94.54764200000001,64130
741,9700 NE BARRY ROAD ,WAFFLE HOUSE #1223,AMUSEMENT DEVICE EXHIBITOR,Kansas City,39.244848,-94.45959,64157
742,3907 MAIN STREET 6411,ADVANCE AMERICA #703,SHORT TERM LOAN,Kansas City,39.056118,-94.58609100000001,64111
743,7907 STATE LINE ROAD ,CVS/PHARMACY #5678,PACKAGE,Kansas City,38.984968,-94.60811600000001,64114
744,4558 MAIN ,CAFE TRIO,RESTAURANT-BAR,Kansas City,39.04443,-94.58681800000001,64111
745,1822 MAIN STREET ,PRIVILEGE,RESTAURANT-BAR,Kansas City,39.090962,-94.583656,64108
746,9902 HOLMES ROAD,GOMER'S FINE WINES AND SPIRITS,PACKAGE,Kansas City,38.948162,-94.582406,64131
747,616-618 WARD PARKWAY ,COAL VINES,RESTAURANT-BAR,Kansas City,39.040021,-94.59470400000001,64112
748,1719 W 39TH STREET ,ROOM 39,RESTAURANT-BAR,Kansas City,39.057257,-94.60521899999999,64111
749,11601 US 40 HIGHWAY ,WAL-MART STORE  #4553,TIRE DEALER,Kansas City,39.046463,-94.441586,11601
750,7687 NW PRAIRIE VIEW ROAD ,PIZZA SHOPPE,RESTAURANT-BAR,Kansas City,39.233371999999996,-94.658553,64151
751,2625 NE VIVION ROAD ,MEINEKE CAR CARE CENTER,TIRE DEALER,Kansas City,39.186806,-94.547974,64119
752,1227 W 103RD STREET ,UGLY JOE'S,RESTAURANT-BAR,Kansas City,38.941984000000005,-94.60639499999999,64114
753,3127 BELMONT AVENUE ,ROBO'S  USED WHEEL & TIRE,TIRE DEALER,Kansas City,39.06697,-94.511375,64129
754,8025 TROOST ,S & S SERVICE CENTER,TIRE DEALER,Kansas City,38.981719,-94.576135,64131
755,8113 PARKHILL STREET ,WRIGHT LANDSCAPING,TIRE HAULER,Kansas City,38.981621999999994,-94.735968,66215
756,2620 INDEPENDENCE AVENUE,SNYDER'S SUPER MARKET,PACKAGE,Kansas City,39.106334999999994,-94.550549,64124
757,3150 MERCIER STREET ,WALDON WINES,WHOLESALER,Kansas City,39.052403000000005,-94.601964,64111
758,112 MISSOURI AVENUE,HARRY'S COUNTRY CLUB,RESTAURANT-BAR,Kansas City,39.107787,-94.580556,64106
759,4601 BROADWAY STREET,RESIDENCE INN BY MARRIOTT,TAVERN,Kansas City,39.044001,-94.591404,64112
760,1114-1116 GRAND ,QUDOS,TAVERN,Kansas City,39.100807,-94.580889,64106
761,4954 31ST STREET ,AUTO STOP SHOPPE,TIRE DEALER,Kansas City,39.069016999999995,-94.52549300000001,64128
762,10501 E 47TH STREET ,ROYAL MEADOWS GOLF  COURSE,TAVERN,Kansas City,39.037223,-94.45633199999999,10501
763,7575 WORNALL ROAD ,FIRESTONE COMPLETE AUTO CARE #3,TIRE DEALER,Kansas City,38.99111,-94.59430400000001,64114
764,1601 18TH STREET ,DANNY'S BIG EASY,RESTAURANT-BAR,Kansas City,39.091173,-94.562951,64108
765,501-03 75TH STREET,CHIPOTLE MEXICAN GRILL #1,RESTAURANT-BAR,Kansas City,38.992478000000006,-94.595423,64114
766,8301 CHURCH ROAD,WAL-MART SUPERCENTER #234,PACKAGE,Kansas City,39.242678000000005,-94.461795,64158
767,5508 TROOST AVENUE ,BLUE STAR MOTORCYCLES,TIRE DEALER,Kansas City,39.026762,-94.573876,64110
768,2510 VIVION ROAD ,WOODSWETHER II,RESTAURANT-BAR,Kansas City,39.185584999999996,-94.54994599999999,64118
769,6411 BARRY ROAD ,HOOTERS OF NORTH KANSAS CITY,RESTAURANT-BAR,Kansas City,39.246803,-94.65348,64154
770,5618 INDEPENDENCE AVENUE ,T & N AUTO SERVICE,TIRE DEALER,Kansas City,39.105118,-94.515909,64123
771,3600 BROADWAY ,COMEDY CITY,RESTAURANT-BAR,Kansas City,39.061862,-94.59051600000001,64111
772,3967 MAIN,MAIN STREET THRIFTWAY,PACKAGE,Kansas City,39.054488,-94.58579300000001,64111
773,2316 TROOST AVENUE ,NEW HORIZONS ENTERPRISE,TIRE HAULER,Kansas City,39.083833,-94.570676,64108
774,7856 WORNALL ROAD,BERBIGLIA WINE & SPIRITS  #71,PACKAGE,Kansas City,38.985704,-94.59455799999999,64114
775,10 42ND STREET ,AUTOMAN,TIRE DEALER,Kansas City,39.050647999999995,-94.5868,64111
776,6950 SQUIBB ROAD ,CYSTIC FIBROSIS FOUNDATION,NON PROFIT ORGINIZATION,Kansas City,39.015687,-94.665452,66202
777,801 SOUTHWEST BLVD,ROYAL LIQUORS #2,PACKAGE,Kansas City,39.084215,-94.594637,64108
778,207 WESTPORT ROAD ,LESBIAN & GAY COMMUNITY CENTER OF KC,NON PROFIT ORGINIZATION,Kansas City,39.054035,-94.588909,64111
779,2345 GRAND STREET ,CATERED EVENT 5/23/2014,NON PROFIT ORGINIZATION,Kansas City,39.084819,-94.581625,64108
780,4302 E TRUMAN ROAD ,TRUMAN TOWN,PACKAGE,Kansas City,39.094018,-94.53188,64127
781,8350 N CHURCH ROAD ,APPLEBEE'S NEIGHBORHOOD GRILL & BAR -3,RESTAURANT-BAR,Kansas City,39.243362,-94.46185600000001,64158
782,4131 BRIGHTON AVENUE ,ALTER EGO MOTORCYCLE SUPPLY,TIRE DEALER,Kansas City,39.168551,-94.521425,64117
783,3139 STADIUM DRIVE ,ECONOMY AUTO  SALVAGE,WASTE TIRE SITE,Kansas City,39.067603999999996,-94.51923599999999,64128
784,1908 TROOST AVENUE ,WABASH IRON & METAL COMPANY,SECONDARY METAL RECYCLER,Kansas City,39.089542,-94.570386,64108
785,1001 SPRUCE AVENUE ,UNITED CAB,TLS VEHICLE,Kansas City,39.100496,-94.53234499999999,64127
786,4300 BLUE RIDGE BLVD,COSENTINO APPLE MARKET #70,PACKAGE,Kansas City,39.043431,-94.438286,64133
787,241 PARIS STREET ,FRONTIER AIRLINES,PACKAGE,Kansas City,39.303231,-94.718271,64153
788,4646 JC NICHOLS PARKWAY,MORTON'S  GRILLE,RESTAURANT-BAR,Kansas City,39.043040999999995,-94.588212,64112
789,13101 STATELINE ROAD ,CVS/PHARMACY #5724,PACKAGE,Kansas City,38.89005,-94.607935,13101
790,8130 CHURCH ROAD ,SAM'S CLUB #6247.,TIRE DEALER,Kansas City,39.246036,-94.459434,64157
791,1300 63RD STREET ,HALLS SALES & SERVICE,TIRE DEALER,Kansas City,39.013187,-94.57199,64110
792,1531 GRAND BLVD ,CZAR BAR,TAVERN,Kansas City,39.094679,-94.58115500000001,64108
793,8451 NW PRAIRIE VIEW ROAD,SMOKEHOUSE BBQ,RESTAURANT-BAR,Kansas City,39.248160999999996,-94.661105,64153
794,1310 CARONDELET DRIVE,EBT,RESTAURANT-BAR,Kansas City,38.935148,-94.606184,64114
795,4502 E 24TH STREET,ROYAL FOODS,PACKAGE,Kansas City,39.082204,-94.530514,64127
796,9400 NW PRAIRIE VIEW ROAD ,WORTH HARLEY DAVIDSON NORTH,TIRE DEALER,Kansas City,39.263921999999994,-94.66296700000001,64153
797,4401 GARDNER AVENUE ,ABC TIRE,TIRE DEALER,Kansas City,39.127153,-94.526862,64120
798,1533 GRAND BLVD ,SUZY'S DELI,RESTAURANT-BAR,Kansas City,39.095237,-94.581117,64108
799,425 WASHINGTON STREET ,MY CHAUFFEUR,TLS VEHICLE,Kansas City,39.10815,-94.589637,64105
800,3401 RED BRIDGE ROAD ,DISCOUNT SMOKES & LIQUORS,PACKAGE,Kansas City,38.924553,-94.550452,64137
801,1501 MAIN STREET ,CALVERT'S EXPRESS AUTO SERVICE & TIRE,TIRE DEALER,Kansas City,39.095648,-94.58335600000001,64108
802,11917 N HOLMES COURT ,ELITE LIMOUSINE,TLS VEHICLE,Kansas City,39.309676,-94.567883,11917
803,1608-10 MAIN STREET ,ANTON'S,RESTAURANT-BAR,Kansas City,39.094359999999995,-94.583489,64108
804,1525 GRAND ,BERG  EVENT SPACE,TAVERN,Kansas City,39.095323,-94.581112,64108
805,5620 TRUMAN ROAD ,RAMIREZ TIRE SERVICE,TIRE DEALER,Kansas City,39.094028,-94.51602,64127
806,4019 INDEPENDENCE AVENUE ,DISCOUNT SMOKES & LIQUOR,PACKAGE,Kansas City,39.10573,-94.534712,64124
807,13101 HOLMES ROAD ,HOMETOWN LIQUOR,PACKAGE,Kansas City,38.889278000000004,-94.58600600000001,13101
808,20811 STATE ROUTE K HIGHWAY ,MONSTER ENERGY GROUP,TIRE HAULER,Kansas City,39.824154,-94.852602,20811
809,2908 SOUTHWEST BLVD ,DANNY EDWARDS BOULEVARD BARBECUE,RESTAURANT-BAR,Kansas City,39.075193,-94.603532,64108
810,1701 133RD STREET ,WAL-MART STORE #2955,TIRE DEALER,Kansas City,38.886503000000005,-94.60646,64145
811,1512 MARSH AVENUE 6412,418,TLS VEHICLE,Kansas City,39.092571,-94.486147,64126
812,2000 GRAND BLVD,"CASHEW, THE",RESTAURANT-BAR,Kansas City,39.088852,-94.581536,64108
813,540 WESTPORT ROAD ,NEW PEKING CHINESE RESTAURANT,RESTAURANT-BAR,Kansas City,39.052315,-94.592648,64111
814,1320 GRAND AVENUE ,PIZZA BAR,RESTAURANT-BAR,Kansas City,39.098269,-94.58104,64106
815,3801 TOPPING AVENUE ,HARVESTERS THE COMMUNITY FOOD NETWORK,NON PROFIT ORGINIZATION,Kansas City,39.056129999999996,-94.51655699999999,64129
816,1501 CLEVELAND AVENUE ,MILLENNIUM SUPER STORE 1,PACKAGE,Kansas City,39.094091,-94.537778,64127
817,528 NW ENGLEWOOD ROAD 6411,QUIK TRIP #173,PACKAGE,Kansas City,39.195828000000006,-94.587127,64118
818,426 PARIS ,KCI CAR CARE,PACKAGE,Kansas City,39.302028,-94.71126600000001,64153
819,3611 BROADWAY ,UPTOWN ARTS BAR,TAVERN,Kansas City,39.061788,-94.590446,64111
820,4327 MAIN STREET 6411,QUIK TRIP #184,PACKAGE,Kansas City,39.048138,-94.586556,64111
821,500 NE BARRY ROAD,PRICE CHOPPER #21,PACKAGE,Kansas City,39.246409,-94.574211,64155
822,6501 TROOST AVENUE ,CHECKSMART 2,SHORT TERM LOAN,Kansas City,39.009339000000004,-94.574776,64131
823,9251 NE BARRY ROAD ,54TH STREET GRILL #5,RESTAURANT-BAR,Kansas City,39.244655,-94.465855,64157
824,3101 SOUTHWEST BLVD 6410,QUIK TRIP #227 R,PACKAGE,Kansas City,39.072107,-94.607063,64108
825,631 HIGHLAND AVENUE ,VENUS PAINT SHOP,TIRE DEALER,Kansas City,39.10545,-94.561306,64106
826,4300 MAIN STREET,BERBIGLIA WINE & SPIRITS #75...,PACKAGE,Kansas City,39.049193,-94.58657600000001,64111
827,8250 N CHURCH ROAD ,TANNERS BAR  & GRILL,RESTAURANT-BAR,Kansas City,39.241664,-94.461559,64158
828,14220 WYANDOTTE STREET ,CENTRAL STATES BEVERAGE COMPANY,WHOLESALER,Kansas City,38.870319,-94.607063,14220
829,1520 GRAND AVENUE ,ONE %,TAVERN,Kansas City,39.095012,-94.58120600000001,64108
830,340 E GREGORY ,MARK TROKEYS AUTOMOTIVE,TIRE DEALER,Kansas City,38.999228,-94.58474,64114
831,1804 39TH STREET ,DB COOPERS,TAVERN,Kansas City,39.057338,-94.606436,64111
832,5910 NW PRAIRIE VIEW ROAD,PRAIRIE VIEW PHILLIPS,PACKAGE,Kansas City,39.202746000000005,-94.63091700000001,64151
833,1221 BROOKLYN AVENUE ,GATES BAR-B-Q 1,RESTAURANT-BAR,Kansas City,39.098712,-94.556009,64127
834,1300 LYDIA 6410,YELLOW CAB,TLS VEHICLE,Kansas City,39.097592,-94.56574499999999,64106
835,1815 W 39TH STREET,THOMAS,RESTAURANT-BAR,Kansas City,39.057285,-94.60647,64111
836,4121 KENTUCKY AVENUE ,AMERICAN TIRE DISTRIBUTORS,TIRE DEALER,Kansas City,39.168045,-94.473566,64161
837,5916 ARLINGTON AVENUE ,MISSOURI BICYCLE & PEDESTRIAN FEDERATION,NON PROFIT ORGINIZATION,Kansas City,39.015361999999996,-94.46779599999999,64133
838,3841 INDEPENDENCE AVENUE ,T & T TIRE SHOP AND MECHANICAL SHOP,TIRE DEALER,Kansas City,39.105790999999996,-94.536781,64124
839,5330 NE OAK RIDGE DRIVE ,ATHLETIC & GOLF CLUB AT MAPLE CREEK,TAVERN,Kansas City,39.191,-94.515037,64119
840,4001 MILL STREET,MARSH'S SUNFRESH,PACKAGE,Kansas City,39.053558,-94.593809,64111
841,9420 NW PRAIRIE VIEW ROAD ,WORTH PARK,RESTAURANT-BAR,Kansas City,39.265522999999995,-94.664144,64153
842,1114 103RD STREET,BERBIGLIA WINE & SPIRITS #63,PACKAGE,Kansas City,38.941993,-94.605615,64114
843,3838 BROADWAY,GOMER'S MIDTOWN FINE WINES & SPIRITS,PACKAGE,Kansas City,39.057462,-94.590733,64111
844,4100 INDEPENDENCE AVENUE ,TITLEMAX 1,SHORT TERM LOAN,Kansas City,39.105768,-94.534039,64124
845,7521 WORNALL ROAD,TAJ MAHAL RESTAURANT,RESTAURANT-BAR,Kansas City,38.992102,-94.59428199999999,64114
846,11124-11126 BLUE RIDGE BLVD ,TITLEMAX 2,SHORT TERM LOAN,Kansas City,38.921793,-94.509579,11124
847,1118 MCGEE STREET ,SOCIAL,TAVERN,Kansas City,39.100343,-94.579756,64106
848,1303 BALTIMORE AVENUE ,KOBE JAPANESE STEAK HOUSE,RESTAURANT-BAR,Kansas City,39.098496999999995,-94.58430899999999,64105
849,7527-7537 WORNALL ,WEI'S SUPER BUFFET,RESTAURANT-BAR,Kansas City,38.99187,-94.594287,64114
850,8411 WORNALL ROAD,TASSO'S GREEK RESTAURANT,RESTAURANT-BAR,Kansas City,38.975989,-94.594965,64114
851,5304 E 24TH STREET ,ROMIE'S BOOZE AND BILLIARDS,TAVERN,Kansas City,39.081447,-94.520647,64127
852,7333 PARVIN ROAD ,HOLIDAY INN KANSAS CITY NORTHEAST,RESTAURANT-BAR,Kansas City,39.168354,-94.49559599999999,64117
853,4209 E 50TH TERRACE ,BLUE PARKWAY SUNFRESH,PACKAGE,Kansas City,39.033916999999995,-94.53621,64130
854,5016 NW LINDEN ROAD ,JAFF TOWNCAR SERVICES,TLS VEHICLE,Kansas City,39.220678,-94.639149,64151
855,7007 NW BARRY ROAD,MINSKY'S PIZZA CAFE & SPORTS BAR,RESTAURANT-BAR,Kansas City,39.246793,-94.661061,64153
856,20 5TH STREET ,BO LINGS CHINESE RESTAURANT,RESTAURANT-BAR,Kansas City,39.108587,-94.58163499999999,64106
857,1519 W 16TH STREET ,AMIGONI URBAN WINERY.,MANUFACTURER,Kansas City,39.094573,-94.603502,64102
858,9717 N ASH AVENUE ,PRICE CHOPPER #288,PACKAGE,Kansas City,39.269946000000004,-94.450435,64157
859,1001 SPRUCE ,UNITED CAB AND LIVERY CO.,TLS VEHICLE,Kansas City,39.100496,-94.53234499999999,64127
860,5736 TROOST AVENUE ,DJ'S ENTERPRISE,TIRE DEALER,Kansas City,39.022342,-94.574106,64110
861,11110 HICKMAN MILLS DRIVE ,SALLAS AUTO REPAIR,TIRE DEALER,Kansas City,38.921843,-94.52331600000001,11110
862,12040 E 86TH STREET,TEETERING ROCKS,TAVERN,Kansas City,38.965117,-94.438827,12040
863,2301 HOLMES ,HOSPITAL HILL ECONOMIC DEVELOPMENT CORPORATION,NON PROFIT ORGINIZATION,Kansas City,39.085052000000005,-94.57574699999999,64108
864,1523 W 89TH STREET,WARD PARKWAY LANES,TAVERN,Kansas City,38.966964000000004,-94.606111,64114
865,505 W 75TH STREET ,PIZZA MANIFESTO,RESTAURANT-BAR,Kansas City,38.992483,-94.595551,64114
866,1331 BANNISTER ROAD ,EXPRESS MART,PACKAGE,Kansas City,38.955103,-94.57329200000001,64131
867,5803 BLUE PARKWAY ,JEWELS SERVICE,TIRE DEALER,Kansas City,39.034533,-94.517277,64129
868,6238 CHATHAM AVENUE,HEN HOUSE #29,PACKAGE,Kansas City,39.209174,-94.64321600000001,64151
869,7104 NW PRAIRIE VIEW ROAD,TASTY THAI,RESTAURANT-BAR,Kansas City,39.223877,-94.65106999999999,64151
870,13401 HOLMES ROAD ,MARGARITAS SOUTH,RESTAURANT-BAR,Kansas City,38.904648,-94.584633,13401
871,1532 GRAND BLVD ,COLLECTION,RESTAURANT-BAR,Kansas City,39.094603,-94.581226,64108
872,8447 WORNALL ROAD,MIKE'S CUT-RATE LIQUORS,PACKAGE,Kansas City,38.97518,-94.59499,64114
873,5909 EQUITABLE ROAD,KANSAS CITY SOCCER DOME,TAVERN,Kansas City,39.137153000000005,-94.512192,64120
874,4420A WARWICK BLVD,CAFE SEBASTIENNE,RESTAURANT-BAR,Kansas City,39.046932,-94.584383,64111
875,5800 BLUE PARKWAY ,L.C.'S BARBEQUE,RESTAURANT-BAR,Kansas City,39.034658,-94.517574,64129
876,8430 WARD PARKWAY,RED SNAPPER PAN ASIAN BISTRO,RESTAURANT-BAR,Kansas City,38.975219,-94.60698599999999,64114
877,1531 GENESSEE ,"GENESSEE ROYALE, THE",RESTAURANT-BAR,Kansas City,39.095743,-94.604828,64102
878,7711 STATE LINE ROAD,HY-VEE WINE & SPIRITS,PACKAGE,Kansas City,38.98843,-94.607945,64114
879,1611 WESTPORT ROAD ,RUDY'S TENAMPA TAQUERIA,RESTAURANT-BAR,Kansas City,39.050153,-94.605052,64111
880,4011 BLUE RIDGE CUTOFF,FOUR POINTS - KANSAS CITY SPORTS COMPLEX,TAVERN,Kansas City,39.049606,-94.475565,64133
881,3120 GILLHAM PLAZA,BERBIGLIA WINE & SPIRITS #64....,PACKAGE,Kansas City,39.0701,-94.578942,64109
882,9050 NE BARRY ROAD ,JOSE PEPPER'S #2,RESTAURANT-BAR,Kansas City,39.244989000000004,-94.46713000000001,64157
883,318 W 47TH STREET ,KALDI'S COFFEEHOUSE,SIDEWALK CAFE,Kansas City,39.042326,-94.59082,64112
884,8787 OLD SANTA FE ROAD,DISABLED AMERICAN VETERANS,RESTAURANT-BAR,Kansas City,38.964674,-94.501725,64138
885,13611 HOLMES ROAD ,RENO POWERSPORTS KC,TIRE DEALER,Kansas City,38.879608000000005,-94.586725,13611
886,1800 GENESSEE ,BRANCATO'S CATERING,RESTAURANT-BAR,Kansas City,39.093055,-94.604814,64102
887,4151 STERLING AVENUE ,CHIPOTLE MEXICAN GRILL #6,RESTAURANT-BAR,Kansas City,39.04652,-94.44760500000001,64133
