,AccountNumber,AccountStatus,AccountStatusDescription,Address,BusinessDescription,BusinessName,City,CouncilDistrict,Date,EffectiveDate,EmployeeRange,HomeBasedBusiness,latitude,longitude,NumberOfEmployees,SIC,StartDate,State,Status,ZIPcode
301,2935,AC,Active Status,916  S CRYSLER AVE,Small Engine Repair,ROBERT'S LAWN MOWER SHOP,INDEPENDENCE,1,2013-01-15,4/30/2017,0-10,NO,39.0827369689941,-94.4324798583984,0,7699E,6/21/1982,MO,RENEWAL,64052
302,39162,AC,Active Status,10712  E 15TH ST S,Child Care - 4 Or Less,RONDA CAMPOS,INDEPENDENCE,1,2012-08-29,8/31/2016,0-10,NO,39.091682434082,-94.4508743286133,0,8351Q,8/21/1998,MO,RENEWAL,64052
303,79982,AC,Active Status,1415  W WHITE OAK AVE,Nursing Home/Assisted Living,ROSEWOOD HEALTH & REHAB CENTER,INDEPENDENCE,1,2012-05-07,3/31/2017,75+,NO,39.0951728820801,-94.4347305297852,698,8051,3/23/2010,MO,RENEWAL,64050
304,79982,AC,Active Status,1415  W WHITE OAK AVE,Nursing Home/Assisted Living,ROSEWOOD HEALTH & REHAB CENTER,INDEPENDENCE,1,2012-05-23,3/31/2017,75+,NO,39.0951728820801,-94.4347305297852,698,8051,3/23/2010,MO,RENEWAL,64050
305,61101,AC,Active Status,201  N SPRING ST,General Contractor,RICHARD D JACOBY,INDEPENDENCE,1,2012-09-20,9/30/2016,0-10,NO,39.0931549072266,-94.4194564819336,0,1521B,9/9/2004,MO,RENEWAL,64050
307,62896,AC,Active Status,308  W MAPLE AVE,Real Estate Development/Construction,"SADDLERIDGE ESTATES, INC.",INDEPENDENCE,1,2012-04-02,3/31/2017,0-10,NO,39.0931434631348,-94.419075012207,0,6552,10/15/1998,MO,RENEWAL,64050
308,62896,AC,Active Status,308  W MAPLE AVE,Real Estate Development/Construction,"SADDLERIDGE ESTATES, INC.",INDEPENDENCE,1,2013-03-14,3/31/2017,0-10,NO,39.0931434631348,-94.419075012207,0,6552,10/15/1998,MO,RENEWAL,64050
309,68794,AC,Active Status,308  W MAPLE AVE  214,Residential Develop/Construction,"SADDLERIDGE VILLAS, INC.",INDEPENDENCE,1,2013-01-11,1/31/2017,0-10,NO,39.0931434631348,-94.419075012207,0,1521A,1/1/2007,MO,RENEWAL,64050
310,7760,AC,Active Status,1916  S CEDAR AVE,Child Care - 5 to 10/Home Occupation,SANDY'S DAY CARE,INDEPENDENCE,1,2012-04-18,4/30/2017,0-10,YES,39.085262298584,-94.4591827392578,0,8351HO,12/20/1989,MO,RENEWAL,64052
311,71086,AC,Active Status,405  W LEXINGTON AVE,Auto Repair-Major/Specialized,SANTA FE GARAGE,INDEPENDENCE,1,2012-09-06,9/30/2016,0-10,NO,39.0919532775879,-94.42041015625,0,7539A,11/1/2007,MO,RENEWAL,64050
312,84421,AC,Active Status,201  N FOREST AVE,Food/Specialized-Retail,SAVORY ADDICTIONS LLC,INDEPENDENCE,1,2012-08-29,8/31/2016,0-10,NO,39.0934677124023,-94.4354095458984,0,5499B,8/9/2011,MO,RENEWAL,64050
313,6548,AC,Active Status,209  N MAIN ST,Gift/Novelty/Specialty Items,SCANDINAVIA PLACE,INDEPENDENCE,1,2012-04-27,4/30/2017,0-10,NO,39.0931663513184,-94.4152526855469,0,5947A,8/5/1987,MO,RENEWAL,64050
315,88243,AC,Active Status,405  W LEXINGTON AVE,Research/Audit Services/Organization,"SECURED TITLE OF KANSAS CITY,",INDEPENDENCE,1,2012-09-21,9/30/2016,0-10,NO,39.0919532775879,-94.42041015625,0,8733,6/30/2012,MO,NEW,64050
316,40300,AC,Active Status,10808  E 23RD ST S B,Loans-Long Term,"SECURITY FINANCE OF MO.,LLC #1097",INDEPENDENCE,1,2013-02-25,2/28/2017,0-10,NO,39.0808143615723,-94.4501419067383,0,6163,2/15/1999,MO,RENEWAL,64052
317,56708,AC,Active Status,1011  W US 24 HWY,Antique/Collectible Sales,SENTIMENTAL JOURNEY,INDEPENDENCE,1,2012-06-12,6/30/2017,0-10,NO,39.1015396118164,-94.4281463623047,0,5932F,6/1/2003,MO,RENEWAL,64050
318,28614,AC,Active Status,116  S PLEASANT ST,Bed & Breakfast,SERENDIPITY BED & BREAKFAST,INDEPENDENCE,1,2012-10-11,9/30/2016,0-10,NO,39.0915985107422,-94.4218673706055,0,7011B,9/1/1994,MO,RENEWAL,64050
319,2673,AC,Active Status,211  N MAIN ST,Antique/Collectible Sales,SERENDIPITY SHOP,INDEPENDENCE,1,2012-04-24,4/30/2017,0-10,NO,39.0932273864746,-94.4152526855469,0,5932F,1/1/1976,MO,RENEWAL,64050
320,60686,AC,Active Status,1515  W WHITE OAK AVE,Hair/Nail Salon (Business Owner),SHAYS SALON AT THE GROVES,INDEPENDENCE,1,2012-08-29,8/31/2016,0-10,NO,39.0953826904297,-94.4324264526367,0,7231,8/1/2004,MO,RENEWAL,64050
321,88384,AC,Active Status,1114  S NOLAND RD  1-FL,Bed & Breakfast,SILVER HEART INN B&B,INDEPENDENCE,1,2012-10-04,10/31/2016,0-10,NO,39.0801658630371,-94.4143753051758,0,7011B,10/15/2012,MO,NEW,64050
322,89627,AC,Active Status,201  N FOREST AVE,Wholesale Food Products,SOUPE GLACEE LLC,INDEPENDENCE,1,2013-03-12,3/12/2017,0-10,NO,39.0934677124023,-94.4354095458984,1,5141A,11/13/2012,MO,NEW,64050
323,79081,AC,Active Status,605  W LEXINGTON AVE,Lawn/Landscape/Tree Services,SPECIALTY LANDSCAPE SERVICES LLC,INDEPENDENCE,1,2013-02-01,12/31/2016,0-10,NO,39.0920066833496,-94.4225692749023,4,0782B,1/1/2010,MO,RENEWAL,64050
324,65538,AC,Active Status,208  W MAPLE AVE,Restaurant,SQUARE PIZZA,INDEPENDENCE,1,2013-02-22,2/28/2017,0-10,NO,39.0931091308594,-94.4175796508789,0,5812,2/9/2006,MO,RENEWAL,64050
325,8063,AC,Active Status,400  W MAPLE AVE,Day Care/Preschool,STARSHINE PRESCHOOL,INDEPENDENCE,1,2012-08-15,8/31/2016,0-10,NO,39.0933303833008,-94.4202041625977,8,8351E,8/15/1990,MO,RENEWAL,64050
328,71327,AC,Active Status,123  S MAIN ST,Fitness/Health Facility,STUDIO ON MAIN,INDEPENDENCE,1,2012-10-29,10/31/2016,0-10,NO,39.0914115905762,-94.4153366088867,0,7991,10/8/2007,MO,RENEWAL,64050
329,65632,AC,Active Status,11203  E US 24 HWY  A,Restaurant,SUBWAY #14532,INDEPENDENCE,1,2012-05-03,4/30/2017,0-10,NO,39.1019668579102,-94.4439697265625,0,5812,4/19/2006,MO,RENEWAL,64054
330,64118,AC,Active Status,911  N NOLAND RD  G,Restaurant,SUBWAY 5929-198,INDEPENDENCE,1,2012-08-30,8/31/2016,0-10,NO,39.1003952026367,-94.4125137329102,0,5812,8/10/2005,MO,RENEWAL,64050
333,214,AC,Active Status,1115  W HAYWARD AVE,General Merchandise-Wholesale,SDI,INDEPENDENCE,1,2012-05-01,4/30/2017,0-10,NO,39.0851402282715,-94.4295654296875,0,5199C,3/14/1978,MO,RENEWAL,64052
334,57542,AC,Active Status,2230  S NORTON AVE  D,Laundromat,ST COIN LAUNDRY,INDEPENDENCE,1,2012-09-10,8/31/2016,0-10,NO,39.0804672241211,-94.4389801025391,0,7215,8/13/2003,MO,RENEWAL,64052
336,85744,AC,Active Status,211  E US 24 HWY,Auto/Truck Sales/Used,"T'S USED CARS, LLC",INDEPENDENCE,1,2012-05-01,5/31/2017,0-10,NO,39.1009788513184,-94.4118957519531,0,5521,5/15/1997,MO,RENEWAL,64050
338,77994,AC,Active Status,410  S LIBERTY ST,Newspaper & Printing,THE EXAMINER,INDEPENDENCE,1,2012-08-30,8/31/2016,0-10,NO,39.0881690979004,-94.4178771972656,0,2711,8/16/2009,MO,RENEWAL,64050
339,5555,AC,Active Status,213  N MAIN ST,Antique/Collectible Sales,THE KEEPING ROOM,INDEPENDENCE,1,2012-04-05,4/30/2017,0-10,NO,39.0932807922363,-94.4152526855469,0,5932F,5/1/1984,MO,RENEWAL,64050
340,39183,AC,Active Status,2121  S STERLING AVE,Consulting Service,THE MANSION HOUSE,INDEPENDENCE,1,2012-11-07,9/30/2016,0-10,YES,39.0818557739258,-94.4456024169922,0,8742A,9/1/1998,MO,RENEWAL,64052
341,34765,AC,Active Status,308  S BLUE RIDGE BLVD,Recreation/Amusement Facility/Service,THE MORGAN HAUS,INDEPENDENCE,1,2012-06-12,6/30/2017,0-10,NO,39.1087226867676,-94.4799194335938,0,7999,6/1/1996,MO,RENEWAL,64053
342,68458,AC,Active Status,401  N LIBERTY ST,Used Merchandise Sales,THE MUSTARD SEED,INDEPENDENCE,1,2012-12-20,12/31/2016,0-10,NO,39.0948066711426,-94.416633605957,0,5932,12/13/2006,MO,RENEWAL,64050
343,40993,AC,Active Status,123  E COLLEGE ST,Rental/Leasing Equip/Tents/Furniture,THE PARTY PATCH,INDEPENDENCE,1,2012-08-21,4/30/2017,0-10,NO,39.0970649719238,-94.4142532348633,4,7359,4/1/1999,MO,RENEWAL,64050
344,80627,AC,Active Status,151  E LEXINGTON AVE,Desktop Publishing/Computer Layout,THE PULSE,INDEPENDENCE,1,2012-05-02,4/30/2017,0-10,NO,39.0917434692383,-94.4133834838867,0,7371D,4/26/1999,MO,RENEWAL,64050
345,68869,AC,Active Status,1030  W 23RD ST  G,Fire Extinguish Eqpt Service/Inspect.,THE RED FORCE FIRE & SEC/ALLSTATE,INDEPENDENCE,1,2012-03-22,3/31/2017,0-10,NO,39.0804557800293,-94.4295043945313,0,7389CB,3/1/2004,MO,RENEWAL,64050
346,69265,AC,Active Status,7905  E 47TH ST,Therapy-Mobile Services,THERESA'S THERAPUTIC MASSAGE,INDEPENDENCE,1,2012-12-18,12/31/2016,0-10,NO,39.0808143615723,-94.4501419067383,0,8049G,12/28/2005,MO,RENEWAL,64052
347,32380,AC,Active Status,125  S CEDAR AVE,Office Only-In Residence,TINY DREAMS,INDEPENDENCE,1,2013-03-07,3/31/2017,0-10,YES,39.1091194152832,-94.4573822021484,0,8721A,3/1/1996,MO,RENEWAL,64053
348,59231,AC,Active Status,123  E US 24 HWY,Loans-Short Term,"TITLE CASH OF MISSOURI,INC DBA CASH",INDEPENDENCE,1,2013-01-15,1/31/2017,0-10,NO,39.1011428833008,-94.4142837524414,0,6099,1/1/2004,MO,RENEWAL,64050
349,37216,AC,Active Status,222  E WALNUT ST,Auto Repair-Major/Specialized,TLC AUTOMOTIVE LLC,INDEPENDENCE,1,2013-01-11,1/31/2017,0-10,NO,39.0901985168457,-94.4122009277344,0,7539A,1/5/1998,MO,RENEWAL,64050
350,24437,AC,Active Status,1315  W US 24 HWY,Auto/Boat/RV Used Sales,TOM'S BOATS & RV SALES,INDEPENDENCE,1,2012-05-22,4/30/2017,0-10,NO,39.101692199707,-94.4319458007813,0,5521A,5/1/1993,MO,RENEWAL,64050
351,28945,AC,Active Status,11405  E TRUMAN RD,Salvage Yard,TRI STATE AUTO SALVAGE,INDEPENDENCE,1,2012-10-01,9/30/2016,0-10,NO,39.0943450927734,-94.4422149658203,0,5015,9/26/1994,MO,RENEWAL,64050
353,69329,AC,Active Status,8918  E US 24 HWY,Appliance Repair/Parts,THE REAL DEAL,INDEPENDENCE,1,2013-03-11,3/12/2017,0-10,NO,39.1075477600098,-94.4733505249023,1,7629,3/1/2007,MO,RENEWAL,64053
354,86835,AC,Active Status,1901  S RALSTON AVE,Cleaning/Maintenance Service,TLC CLEANING SERVICE.,INDEPENDENCE,1,2012-05-03,5/31/2017,0-10,YES,39.0854148864746,-94.4528350830078,2,7349,5/28/2012,MO,NEW,64052
355,80218,AC,Active Status,1212  W US 24 HWY  B,Recycling Center,TOP METAL RECYCLING OF INDEPEN,INDEPENDENCE,1,2012-04-19,5/10/2017,0-10,NO,39.1025199890137,-94.4307327270508,1,5093D,6/11/2008,MO,RENEWAL,64050
358,4841,AC,Active Status,206  S OSAGE ST,Parking/Tow Lot,U-PARK,INDEPENDENCE,1,2012-04-13,4/30/2017,0-10,NO,39.0907020568848,-94.4189758300781,0,7521,10/14/1981,MO,RENEWAL,64050
361,87839,AC,Active Status,2501  N LIBERTY ST   C,Demolition/Wrecking/Excavation,"VANCE & ASSOCIATES, INC.",INDEPENDENCE,1,2012-08-06,8/31/2016,0-10,YES,39.1240768432617,-94.4148941040039,8,1795,8/1/2012,MO,NEW,64050
362,77157,AC,Active Status,801  N MAIN ST,Residential Construction,"VISION QUEST BUILDERS, LLC",INDEPENDENCE,1,2012-04-11,3/31/2017,0-10,YES,39.0989265441895,-94.4147338867188,0,1521,3/1/2005,MO,RENEWAL,64050
363,50011,AC,Active Status,1506  S APPLETON AVE,Art/Painting Sales,VISIONS FROM THE MUSE,INDEPENDENCE,1,2012-06-04,5/31/2017,0-10,YES,39.0910682678223,-94.4496231079102,0,8249C,9/21/1999,MO,RENEWAL,64052
364,83973,AC,Active Status,10815  E WINNER RD,Restaurant,VIVILORE,INDEPENDENCE,1,2012-05-31,5/31/2017,0-10,NO,39.0874328613281,-94.4498825073242,0,5812,8/15/2011,MO,RENEWAL,64052
365,36012,AC,Active Status,1511  W US 24 HWY,Auto Repair-Light,WALDO AUTO REPAIR,INDEPENDENCE,1,2012-10-26,8/31/2016,0-10,NO,39.1018104553223,-94.4340362548828,0,7538,8/1/1997,MO,RENEWAL,64050
366,36012,AC,Active Status,1511  W US 24 HWY,Auto Repair-Light,WALDO AUTO REPAIR,INDEPENDENCE,1,2012-10-26,8/31/2016,0-10,NO,39.1018104553223,-94.4340362548828,0,7538,8/1/1997,MO,RENEWAL,64050
367,39636,AC,Active Status,2261  S STERLING AVE,Drug Store/Pharmacy,WALGREENS #04236,INDEPENDENCE,1,2013-01-25,1/31/2017,0-10,NO,39.0806884765625,-94.4457931518555,0,5912,1/2/1999,MO,RENEWAL,64052
369,85864,AC,Active Status,627  S COTTAGE AVE  SO LOT DOOR #4,Tow Service-Office Only/No Park/No Emply,WANTED DEAD OR ALIVE JUNK CARS,INDEPENDENCE,1,2012-11-26,9/10/2016,0-10,NO,39.0863418579102,-94.4262313842773,0,7549F,9/9/2010,MO,RENEWAL,64050
370,30277,AC,Active Status,1217  N PLEASANT ST,Sewer/Wtr Line Instl/Maint/Sup,WATER KEY,INDEPENDENCE,1,2013-02-15,2/28/2017,0-10,YES,39.1045188903809,-94.4201507568359,0,1623,2/22/1995,MO,RENEWAL,64050
371,870,AC,Active Status,111  N MAIN ST  #10,Engineer/Surveyor/Architect,WEISKIRCH & PARKS ENGINEERS,INDEPENDENCE,1,2012-05-01,4/30/2017,0-10,NO,39.092586517334,-94.4152755737305,0,8711,2/20/1990,MO,RENEWAL,64050
372,8478,AC,Active Status,415  E US 24 HWY,Hardware Store,WESTLAKE HARDWARE #049,INDEPENDENCE,1,2013-01-23,1/31/2017,0-10,NO,39.1002922058105,-94.4086303710938,0,5251,8/8/1991,MO,RENEWAL,64050
373,80924,AC,Active Status,208  W LEXINGTON AVE,Clothing Apparel/Access/Hdwear,WHIMSY FOR ELIZABETH HENRY,INDEPENDENCE,1,2012-05-25,5/31/2017,0-10,NO,39.0923347473145,-94.4175491333008,0,5699A,5/15/2010,MO,RENEWAL,64050
374,79983,AC,Active Status,1515  W WHITE OAK AVE,Residential Care Services,"WHITE OAK LIVING CENTER, LLC",INDEPENDENCE,1,2012-05-07,3/31/2017,0-10,NO,39.0953826904297,-94.4324264526367,4,8361,3/23/2010,MO,RENEWAL,64050
375,79983,AC,Active Status,1515  W WHITE OAK AVE,Residential Care Services,"WHITE OAK LIVING CENTER, LLC",INDEPENDENCE,1,2012-05-23,3/31/2017,0-10,NO,39.0953826904297,-94.4324264526367,4,8361,3/23/2010,MO,RENEWAL,64050
376,65515,AC,Active Status,10711  E US 24 HWY,Auto/Truck Sales/Used,WHOLESALE AUTO OUTLET,INDEPENDENCE,1,2013-02-23,2/7/2017,0-10,NO,39.1022872924805,-94.4507675170898,0,5521,3/1/2006,MO,RENEWAL,64053
377,78916,AC,Active Status,104  W MAPLE AVE   A,Gift/Novelty/Specialty/Herbs,WILD ABOUT HARRY,INDEPENDENCE,1,2012-12-20,12/31/2016,0-10,NO,39.0929794311523,-94.4159393310547,0,5947C,12/2/2009,MO,RENEWAL,64050
378,85133,AC,Active Status,11104  E TRUMAN RD,Auto Service,WILLIAM SHOOK,INDEPENDENCE,1,2013-01-16,12/31/2016,0-10,NO,39.0950546264648,-94.4589233398438,0,7549,12/18/2005,MO,RENEWAL,64052
379,76679,AC,Active Status,939  S MAIN ST,Jewelry Sales/Design/Repair,WOLF SPIRIT DESIGNS,INDEPENDENCE,1,2012-04-09,4/30/2017,0-10,YES,39.0817184448242,-94.4150390625,0,5944,11/1/1995,MO,RENEWAL,64050
380,26301,AC,Active Status,1216  S CUNNINGHAM AVE,Wood Products-Mfg/Finishing,WOOD CREATIONS,INDEPENDENCE,1,2012-11-26,11/30/2016,0-10,NO,39.0940284729004,-94.4385604858398,0,2499,11/1/1993,MO,RENEWAL,64050
381,23767,AC,Active Status,1804  S STERLING AVE  PO BOX 520049,Residential Care Services,WOOD OAKS,INDEPENDENCE,1,2013-03-11,2/28/2017,0-10,NO,39.0873069763184,-94.4464645385742,0,8361,1/1/1993,MO,RENEWAL,64052
385,69415,AC,Active Status,2418  S R D MIZE RD,Musical Instrument Sales/Repair,"WYATT VIOLIN SHOP, LLC",INDEPENDENCE,1,2013-02-07,2/28/2017,0-10,NO,39.0879211425781,-94.446418762207,0,5736,4/2/2006,MO,RENEWAL,64052
386,84586,AC,Active Status,207  W MAPLE AVE,Ice Cream/Yogurt Snack Shop,YOGURTINI #18,INDEPENDENCE,1,2012-08-29,8/31/2016,0-10,NO,39.0926780700684,-94.4175872802734,0,5812B,9/2/2011,MO,RENEWAL,64050
387,82976,AC,Active Status,1402  S HOME AVE,Secretarial/Word Processing Service,YOUR SECRETARY,INDEPENDENCE,1,2012-03-20,3/31/2017,0-10,YES,39.0931015014648,-94.4602279663086,0,7338,4/1/2011,MO,RENEWAL,64052
388,79685,AC,Active Status,11433  E TRUMAN RD,Auto Repair-Light,"ZENITH MOTOR CO, LLC",INDEPENDENCE,1,2012-09-21,9/30/2016,0-10,NO,39.094310760498,-94.4391708374023,0,7538,9/1/2007,MO,RENEWAL,64050
390,4468,AC,Active Status,305  E US 24 HWY,Moving With Storage,24 HIGHWAY MOVING & STORAGE,INDEPENDENCE,1,2012-05-07,4/30/2017,0-10,NO,39.1002731323242,-94.4107666015625,0,4214,1/1/1979,MO,RENEWAL,64050
391,74785,AC,Active Status,1000  W US 24 HWY,Grocery Store,24 HWY DISCOUNT LIQUOR GROCERY MARK,INDEPENDENCE,1,2012-10-01,9/30/2016,0-10,NO,39.1024932861328,-94.4281158447266,1,5411A,9/15/2008,MO,RENEWAL,64050
393,54739,AC,Active Status,201  E US 24 HWY,Convenience Store,7-ELEVEN STORE #240570,INDEPENDENCE,1,2012-10-10,10/31/2016,0-10,NO,39.1009330749512,-94.4124908447266,4,5411,10/1/2002,MO,RENEWAL,64050
394,80079,AC,Active Status,9234  E US 24 HWY,General Merchandise Retail,99 CENTS DEALS,INDEPENDENCE,1,2012-05-10,4/30/2017,0-10,NO,39.103874206543,-94.4693069458008,2,5399,6/15/2010,MO,RENEWAL,64053
395,72451,AC,Active Status,19601  E LIPPERT LN,Internet Sales/Purchasing/Leasing,GOODBADUGLYPAKRATZ,INDEPENDENCE,2,2013-02-04,2/28/2017,0-10,YES,39.0981903076172,-94.3470306396484,0,7371G,1/1/2008,MO,RENEWAL,64056
398,53793,AC,Active Status,15903  E 20TH ST S,Plumbing Contractor,A A HUBBARD PLUMBING CO.,INDEPENDENCE,2,2012-06-28,6/30/2017,0-10,YES,39.081657409668,-94.3911666870117,0,1711A,6/5/2002,MO,RENEWAL,64050
399,76683,AC,Active Status,601  S LACY RD  REAR,Salvage Yard,A TO Z FOREIGN AUTO PARTS,INDEPENDENCE,2,2012-09-14,9/30/2016,0-10,NO,39.0990257263184,-94.3833389282227,0,5015,9/1/1995,MO,RENEWAL,64050
401,4629,AC,Active Status,15796  E US 24 HWY,Pet Services &/Or Products,ALL BREED GROOM SHOP,INDEPENDENCE,2,2012-04-26,4/30/2017,0-10,NO,39.1144485473633,-94.3891448974609,0,0752,3/7/1980,MO,RENEWAL,64050
402,6805,AC,Active Status,1041  S VISTA AVE,Industrial Machinery/Equip Serv-Whsl,ALL-TYPE PARTS & EQUIPMENT INC,INDEPENDENCE,2,2012-05-10,4/30/2017,0-10,NO,39.0939750671387,-94.3648452758789,0,5084,5/1/1988,MO,RENEWAL,64056
403,79559,AC,Active Status,440  S LESLIE AVE,Graphic Design/Commercial Art,"AMPERSAND CREATIVE, LLC",INDEPENDENCE,2,2013-02-07,2/28/2017,0-10,YES,39.0873756408691,-94.4070281982422,0,7336,3/1/2010,MO,RENEWAL,64050
404,73289,AC,Active Status,1400  W TURNER AVE,Rental Heavy Constr Equipment/Tools,ANGLO AMERICAN MACHINE CO,INDEPENDENCE,2,2012-05-14,4/30/2017,0-10,NO,39.1022186279297,-94.3830184936523,0,7353,8/18/1980,MO,RENEWAL,64056
405,38672,AC,Active Status,716  N M 291 HWY,Pet Services &/Or Products,ANIMAL CLINIC OF SUSQUEHANNA,INDEPENDENCE,2,2012-06-25,6/30/2017,0-10,NO,39.1169586181641,-94.3864059448242,0,0752,6/8/1998,MO,RENEWAL,64050
407,61915,AC,Active Status,824  S M 291 HWY,Masonry/Stone Setting/Stucco,ARCHITECTURAL STONE PRODUCTS,INDEPENDENCE,2,2013-02-17,1/31/2017,0-10,NO,39.0966300964355,-94.3811264038086,0,1741,1/1/2005,MO,RENEWAL,64050
408,31854,AC,Active Status,21200  E TRUMAN RD,Firearms/Supplies/Gunsmth-Commercial Loc,"ARMS MART, INC",INDEPENDENCE,2,2012-11-21,11/30/2016,0-10,NO,39.0916633605957,-94.3302841186523,8,5941BA,11/1/1995,MO,RENEWAL,64057
409,79309,AC,Active Status,15312  E TRUMAN RD  SHOP,Roofing And/Or Guttering,ARTISAN ROOFING AND GUTTERING,INDEPENDENCE,2,2013-01-31,1/31/2017,0-10,NO,39.0934562683105,-94.3972854614258,3,1761,1/15/2010,MO,RENEWAL,64050
410,85731,AC,Active Status,1421  N BLUE MILLS RD,Fire/Burglar Alarm Install/Sales,ASSURANCE SECURITY LLC,INDEPENDENCE,2,2013-01-29,1/31/2017,0-10,YES,39.128963470459,-94.3367385864258,3,1731D,1/1/2012,MO,RENEWAL,64056
411,4497,AC,Active Status,524  E 23RD ST S,Auto Paint & Supply,"AUTO COLOR & EQUIPMENT, INC.",INDEPENDENCE,2,2012-04-02,4/30/2017,0-10,NO,39.0792617797852,-94.4086380004883,0,5531L,3/17/1987,MO,RENEWAL,64050
413,7243,AC,Active Status,816  E 23RD ST S,Auto Repair-Light,AA AUTO REPAIR,INDEPENDENCE,2,2012-05-02,4/30/2017,0-10,NO,39.0791320800781,-94.4047546386719,0,7538,11/10/1988,MO,RENEWAL,64050
415,75322,AC,Active Status,1026  S POWELL RD,Communication Relay Tower/Signal Service,AT&T MOBILITY,INDEPENDENCE,2,2012-05-16,5/31/2017,0-10,NO,39.0930061340332,-94.3298492431641,0,8999A,5/1/2008,MO,RENEWAL,64056
416,75324,AC,Active Status,15501  E SWEARINGEN RD,Communication Relay Tower/Signal Service,AT&T MOBILITY,INDEPENDENCE,2,2012-05-16,5/31/2017,0-10,NO,39.1235046386719,-94.3923110961914,0,8999A,5/1/2008,MO,RENEWAL,64050
417,80444,AC,Active Status,906  N M 291 HWY  TOWER,Communication Relay Tower/Signal Service,AT&T MOBILITY,INDEPENDENCE,2,2012-05-16,5/31/2017,0-10,NO,39.120532989502,-94.3887481689453,0,8999A,10/2/2001,MO,RENEWAL,64056
418,43179,AC,Active Status,15908  E 23RD ST S,Restaurant,BACK YARD BURGERS,INDEPENDENCE,2,2012-04-22,2/28/2017,26-50,NO,39.0787773132324,-94.3893966674805,30,5812,2/1/2000,MO,RENEWAL,64050
419,43455,AC,Active Status,17410  E US 24 HWY,Bank,BANK OF AMERICA,INDEPENDENCE,2,2012-04-03,1/31/2017,0-10,NO,39.1209678649902,-94.3711013793945,0,6011,1/1/2000,MO,RENEWAL,64056
420,33710,AC,Active Status,303  N KIGER RD,Utility/Underground Contractor,"BAR-TECH, INC.",INDEPENDENCE,2,2012-09-04,8/31/2016,0-10,YES,39.0942916870117,-94.3960952758789,3,1623A,8/8/1996,MO,RENEWAL,64050
421,38098,AC,Active Status,21421  E TRUMAN RD,Concrete Products/Precast Stone,BARBOUR BUILDING SYSTEMS LLC,INDEPENDENCE,2,2012-05-01,4/30/2017,0-10,NO,39.0939865112305,-94.3623504638672,0,3272,5/1/1996,MO,RENEWAL,64057
423,81361,AC,Active Status,1516  E 23RD ST S C,Medical Equip/Supply-Rntl/Sales,BELTONE HEARING AID CENTER,INDEPENDENCE,2,2012-09-10,9/30/2016,0-10,NO,39.079029083252,-94.3939514160156,0,7352,10/1/2010,MO,RENEWAL,64050
424,25994,AC,Active Status,19301  E 7TH STREET CT S,Residential Construction,BEN KISNER CONSTRUCTION CO INC,INDEPENDENCE,2,2012-09-05,9/30/2016,0-10,YES,39.0975112915039,-94.3508682250977,0,1521,9/24/1993,MO,RENEWAL,64056
425,59894,AC,Active Status,709  N ROGERS ST,Residential Remodel &/Or Repair,BIG D'S MAINTENANCE,INDEPENDENCE,2,2012-06-06,5/31/2017,0-10,YES,39.0976104736328,-94.399284362793,0,1521E,5/1/2004,MO,RENEWAL,64050
427,68733,AC,Active Status,315  S LESLIE AVE,Child Care Center,BOYS & GIRLS CLUBS OF GKC,INDEPENDENCE,2,2013-02-05,1/31/2017,0-10,NO,39.088550567627,-94.4053192138672,0,8351,1/1/1912,MO,RENEWAL,64050
428,942,AC,Active Status,909  S VISTA AVE  C,Machine Shop,"BRADLEY SERVICE CO, INC.",INDEPENDENCE,2,2012-04-12,4/30/2017,0-10,NO,39.0952796936035,-94.3647766113281,0,3599A,1/1/1980,MO,RENEWAL,64056
429,59524,AC,Active Status,828  S TRAIL RIDGE DR,General Contractor,BUDGET BUILDERS,INDEPENDENCE,2,2012-03-29,3/31/2017,0-10,YES,39.0841751098633,-94.3887176513672,0,1521B,3/16/2004,MO,RENEWAL,64050
430,59524,AC,Active Status,828  S TRAIL RIDGE DR,General Contractor,BUDGET BUILDERS,INDEPENDENCE,2,2013-03-12,3/31/2017,0-10,YES,39.0841751098633,-94.3887176513672,0,1521B,3/16/2004,MO,RENEWAL,64050
431,51187,AC,Active Status,16901  E US 24 HWY,Restaurant,BURGER KING,INDEPENDENCE,2,2012-09-14,9/30/2016,0-10,NO,39.1181030273438,-94.3782653808594,0,5812,9/11/2001,MO,RENEWAL,64056
432,64654,AC,Active Status,20405  E 15TH TERR N,Dump Truck Contract,"BAM TRUCKING, INC.",INDEPENDENCE,2,2012-11-26,11/30/2016,0-10,YES,39.1309852600098,-94.3367309570313,0,4212B,10/26/2005,MO,RENEWAL,64056
433,49117,AC,Active Status,19501  E US 40 HWY   B,Vitamin/Nutritional/Oils-Sales,"BATEMAN-GATROST CHIROPRACTIC, PC",INDEPENDENCE,2,2013-03-07,2/28/2017,11-25,NO,39.0790138244629,-94.3932266235352,11,5499G,9/1/1990,MO,RENEWAL,64050
434,1939,AC,Active Status,1200  S POWELL RD,Truck/Bus Mfg & Sale,C B T CORPORATION,INDEPENDENCE,2,2012-04-19,4/30/2017,0-10,NO,39.0903282165527,-94.3296585083008,6,3713,1/1/1982,MO,RENEWAL,64057
