PO_NUMBER,AGENCY_NAME,NIGP_DESCRIPTION,PO_TOTAL_AMOUNT,ORDER_DATE,SUPPLIER,FISCAL_YEAR,OBJECTID
PO554757,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,CATERING SERVICES,139.35,2016-11-17T00:00:00.000Z,GREAT AMERICAN CORP,2017,313199
PO553625,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"Toilet Tissues, Paper Towels, and Toilet Seat Covers, Environmentally Certified Products",144.4,2016-11-03T00:00:00.000Z,General Merchandise Supplies,2017,313200
PO552209,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"Computers, Microcomputer, Handheld, Laptop and Notebook, Rental or Lease",89.95,2016-10-21T00:00:00.000Z,APPLE COMPUTER INC,2017,313201
PO550776,DC NATIONAL GUARD,"9242500:For Credit Classes, Seminars, Workshops, etc.",3180,2016-10-04T00:00:00.000Z,EMBRY-RIDDLE AERONAUTICAL UNI.,2017,313202
PO556043,OFFICE OF HUMAN RIGHTS,"2041365:CABLE, COMPUTER, PARALLEL PRINTER",24500,2016-12-08T00:00:00.000Z,Dupont Computers,2017,313203
PO555676,FIRE AND EMERGENCY MEDICAL SERVICES,"CLEANER, DISINFECTANT/DEODORIZER, AEROSOL",1170,2016-12-02T00:00:00.000Z,American Business Supplies LLC,2017,313204
PO556347,DEPARTMENT OF EMPLOYMENT SERVICES,EDUCATIONAL TRAINING CONSULTANT SERVICES,10350,2016-12-14T00:00:00.000Z,Evergreen Information Technology,2017,313205
PO550834,DEPARTMENT OF BEHAVIORAL HEALTH,"9540552:LAUNDRY SERVICES. THE CONTRACTOR SHALL BE RESPONSIBLE FOR INVENTORY PROCUREMENT, PICK UP OF SOILED LAUNDRY, CLEANING, SANITIZING, PACKAGING, WRAPPING AND DELIVERY/PLACEMENT OF CLEAN LAUNDRY",5400,2016-10-04T00:00:00.000Z,"MAYFLOWER TEXTILE SERVICES, CO",2017,313206
PO553856,DEPARTMENT OF GENERAL SERVICES,"9885220:BACK FILL FOR PLANTING. THE PREPARED BACK FILL SHALL CONSIST OF A MIXTURE OF TOP SOIL, PEAT MOSS AND FERTILIZER. TO EACH CU. YD. OF TOP SOIL, ADD 3 CU.FT. OF PHOSPHORUS NUTRIENTS AND ON POUND OF POTASSIUM NUTRIENTS. AT THE END OF THE ESTABLISHMENT",15496.72,2016-11-04T00:00:00.000Z,RSC ELECTRICAL & MECHANICAL CO,2017,313207
PO535350-V4,DC PUBLIC LIBRARY,"8018100:Signs, Library",11230.97,2016-12-12T00:00:00.000Z,COAKLEY & WILLIAMS CONST.,2017,313208
PO555163,DEPARTMENT OF HEALTH,"6002278:TONER, CARTRIDGE, CALCULATORS, ELECTRONIC, PRINTING",918.72,2016-11-23T00:00:00.000Z,Capital Services and Supplies,2017,313209
PO555053,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"SUPPLIES, SCHOOL, VARIOUS (NOT OTHERWISE CLASSIFIED)",103.34,2016-11-22T00:00:00.000Z,AMERICAN EXPRESS COMPANY,2017,313210
PO549810,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"2093852:SOFTWARE, MAINFRAME, DATABASE, LATEST VERSION OR RELEASE LISTED",3060,2016-10-03T00:00:00.000Z,"EDUCATIONAL NETWORKS, INC.",2017,313211
PO552137,DEPARTMENT OF EMPLOYMENT SERVICES,9525900:Human Services (Not Otherwise Classified),2000,2016-10-20T00:00:00.000Z,"Westlink Career Institute, LLC",2017,313212
PO552117-V2,DEPARTMENT OF EMPLOYMENT SERVICES,9525900:Human Services (Not Otherwise Classified),0,2016-12-02T00:00:00.000Z,VMT EDUCATION CENTER,2017,313213
PO554330,DEPARTMENT OF EMPLOYMENT SERVICES,EDUCATIONAL TRAINING CONSULTANT SERVICES,300,2016-11-10T00:00:00.000Z,"Destined For Greatness, LLC",2017,313214
PO551881,DEPARTMENT OF PUBLIC WORKS,EDUCATIONAL/TRAINING,30120,2016-10-19T00:00:00.000Z,"Wreckmaster, Inc.",2017,313215
PO550353,DEPARTMENT OF PUBLIC WORKS,"9204520:MAINTENANCE AND LICENSE AGREEMENT SERVICES, MICROCOMPUTER SOFTWARE",60000,2016-10-03T00:00:00.000Z,EZTAG CORP,2017,313216
PO552199,COMMISSION ON ARTS & HUMANITIES,"9620700:Arts Services (Cultural, Design, Visual, etc.)",7800,2016-10-21T00:00:00.000Z,John Aquilino,2017,313217
PO552604,DEPARTMENT ON DISABILITY SERVICES,"9529265:RESIDENTIAL CARE AND TREATMENT (LONG TERM) TO BE PROVIDED IN A COMMUNITY CARE HOME, RESIDENTIAL TREATMENT FACILITY OR NURSING HOME",1000,2016-10-26T00:00:00.000Z,"Melmark, Inc.",2017,313218
PO554015,OFFICE OF CHIEF TECHNOLOGY OFFICER,"9204531:MAINTENANCE AND SUPPORT, SOFTWARE, MAINFRAME",665.74,2016-11-08T00:00:00.000Z,DLT SOLUTIONS INC,2017,313219
PO555330,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"CHALK, CHARCOAL, PASTELS, PENCILS",29.9,2016-11-29T00:00:00.000Z,METROPOLITAN OFFICE PRODUCTS,2017,313220
PO552620,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"MAINTENANCE SERVICES, WEBSITE",2924,2016-10-26T00:00:00.000Z,"EDUCATIONAL NETWORKS, INC.",2017,313221
PO549751-V2,CHILD AND FAMILY SERVICES,EDUCATIONAL TRAINING CONSULTANT SERVICES,163518.63,2016-11-18T00:00:00.000Z,"KVC Health Systems, Inc.",2017,313222
PO555659-V2,DEPARTMENT ON DISABILITY SERVICES,"CAREER FAIR, CONSTRUCTION",12275,2016-12-13T00:00:00.000Z,DC CENTER FOR INDEPEN. LIVING,2017,313223
PO555053,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"SUPPLIES, SCHOOL, VARIOUS (NOT OTHERWISE CLASSIFIED)",34.96,2016-11-22T00:00:00.000Z,AMERICAN EXPRESS COMPANY,2017,313224
PO553288-V3,DEPUTY MAYOR FOR ECONOMIC DEVELOPMENT,9188900:Real Estate/Land Consulting (Including Land Survey Consulting),210826,2016-12-16T00:00:00.000Z,MCKISSACK & MCKISSACK OF WASH,2017,313225
PO554331,DEPARTMENT OF EMPLOYMENT SERVICES,EDUCATIONAL TRAINING CONSULTANT SERVICES,2000,2016-12-05T00:00:00.000Z,LATIN AMERICAN YOUTH CENTER,2017,313226
PO554102,DEPARTMENT OF FOR-HIRE VEHICLES,"PROCESSING SERVICES, ENTREES, MISCELLANEOUS (Inactive, please see commodity code 961-38-50 effective January 1, 2016)",100,2016-11-09T00:00:00.000Z,FEDERAL PARKING INC,2017,313227
PO555886,DEPARTMENT ON DISABILITY SERVICES,"9125600:Maintenance and Repair, Power Plant",4930,2016-12-06T00:00:00.000Z,"Iron Data Solutions, Inc",2017,313228
PO557021,OFFICE OF CHIEF TECHNOLOGY OFFICER,"7255555:PARTS AND ACCESSORIES, TELEPHONE (MISC.)",23891.25,2016-12-28T00:00:00.000Z,"Networking For Future, Inc.",2017,313229
PO551188-V4,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,CATERING SERVICES,797.5,2016-12-08T00:00:00.000Z,GREAT AMERICAN CORP,2017,313230
PO552178,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"CLEANING, EQUIPMENT AND SUPPLIES",4150,2016-10-21T00:00:00.000Z,AMERICAN EXPRESS COMPANY,2017,313231
PO550400,DEPT OF SMALL & LOCAL BUSINESS DEVELOPMT,9614400:Industrial Development and Planning Services,126000,2016-10-03T00:00:00.000Z,MOUNT VERNON TRIANGEL BUSINESS,2017,313232
PO548575-V3,FIRE AND EMERGENCY MEDICAL SERVICES,9584100:Fleet Management Services,275000,2016-12-29T00:00:00.000Z,SEAGRAVE FIRE APARATUS INC,2017,313233
PO553969,FIRE AND EMERGENCY MEDICAL SERVICES,9986700:Medical and Dental Equipment and Supplies,3040,2016-11-08T00:00:00.000Z,Total Healthcare Solutions,2017,313234
PO537544-V3,OFFICE OF CHIEF FINANCIAL OFFICER,9751440:AUTOMOBILE RENTAL OR LEASE SERVICES,713.34,2016-10-11T00:00:00.000Z,Enterprise RAC of Maryland,2017,313235
PO556917,COMMISSION ON ARTS & HUMANITIES,"9620700:Arts Services (Cultural, Design, Visual, etc.)",50000,2016-12-23T00:00:00.000Z,WASHINGTON PERFORMING ARTS SOC,2017,313236
PO555040,D.C HEALTH BENEFIT EXCHANGE AUTHORITY,CONSULTING SERVICES (NOT OTHERWISE CLASSIFIED),68656,2016-11-22T00:00:00.000Z,DATA NET SYSTEMS CORP,2017,313237
PO556620,OFFICE OF CHIEF TECHNOLOGY OFFICER,"9204520:MAINTENANCE AND LICENSE AGREEMENT SERVICES, MICROCOMPUTER SOFTWARE",2028.24,2016-12-19T00:00:00.000Z,"DISYS SOLUTIONS, INC.",2017,313238
PO556996,OFFICE OF CHIEF TECHNOLOGY OFFICER,"LICENSE, APPLICATION SOFTWARE (MICROCOMPUTER)",7344,2016-12-28T00:00:00.000Z,Carahsoft Technology Corporation,2017,313239
PO554480,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"SUPPLIES, SCHOOL, VARIOUS (NOT OTHERWISE CLASSIFIED)",43.96,2016-11-15T00:00:00.000Z,AMERICAN EXPRESS COMPANY,2017,313240
PO555864,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,PERIODICALS,6554.94,2016-12-06T00:00:00.000Z,EBSCO INDUSTRIES INC,2017,313241
PO556761,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,CATERING SERVICES,159,2016-12-21T00:00:00.000Z,GREAT AMERICAN CORP,2017,313242
PO556640,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"CERTIFICATION EXAM REVIEW, STUDY HELPS, FLASH CARDS, ETC.",9750,2016-12-19T00:00:00.000Z,"NCS PEARSON, INC",2017,313243
PO555851,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"SUPPLIES, SCHOOL, VARIOUS (NOT OTHERWISE CLASSIFIED)",22.38,2016-12-06T00:00:00.000Z,THE AQUILINE GROUP,2017,313244
PO556653,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6453337:PAPER, COPIER, MULTI-PURPOSE",462,2016-12-19T00:00:00.000Z,American Business Supplies LLC,2017,313245
PO552901,FIRE AND EMERGENCY MEDICAL SERVICES,"2083720:SOFTWARE, MICROCOMPUTER, DATABASE, APPLE COMPATIBLE, LATEST RELEASE OR VERSION LISTED",77479.66,2016-10-28T00:00:00.000Z,Kronos Incorporated,2017,313246
PO555705,DEPARTMENT OF EMPLOYMENT SERVICES,EDUCATIONAL TRAINING CONSULTANT SERVICES,1000,2016-12-02T00:00:00.000Z,"Destined For Greatness, LLC",2017,313247
PO550834,DEPARTMENT OF BEHAVIORAL HEALTH,"9540552:LAUNDRY SERVICES. THE CONTRACTOR SHALL BE RESPONSIBLE FOR INVENTORY PROCUREMENT, PICK UP OF SOILED LAUNDRY, CLEANING, SANITIZING, PACKAGING, WRAPPING AND DELIVERY/PLACEMENT OF CLEAN LAUNDRY",39000,2016-10-04T00:00:00.000Z,"MAYFLOWER TEXTILE SERVICES, CO",2017,313248
PO554333,DEPARTMENT OF GENERAL SERVICES,9582600:Construction Management Services,620976,2016-11-11T00:00:00.000Z,HR GENERAL MAINTENANCE CORP,2017,313249
PO556550,OFFICE OF CHIEF FINANCIAL OFFICER,"6458053:STATIONERY, OFFICE",3689,2016-12-16T00:00:00.000Z,LASER ART INC,2017,313250
PO553839,DEPARTMENT OF TRANSPORTATION,Parking Consulting,55652,2016-11-04T00:00:00.000Z,"MCANDREW CO, INC",2017,313251
PO553890,D.C HEALTH BENEFIT EXCHANGE AUTHORITY,9902200:Card Access Security Services,8160,2016-11-07T00:00:00.000Z,DATAWATCH SYSTEMS,2017,313252
PO550060,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9247100:School Operation and Management Services,4050,2016-10-03T00:00:00.000Z,ONE WORLD EDUCATION,2017,313253
PO553641,DEPT. OF HOUSING AND COMM. DEVELOPMENT,TAINLESS STEEL CHAIN,10428,2016-11-03T00:00:00.000Z,"Greater Heights Remodelers,Inc",2017,313254
PO554548,DEPARTMENT OF EMPLOYMENT SERVICES,EDUCATIONAL TRAINING CONSULTANT SERVICES,250,2016-12-05T00:00:00.000Z,LATIN AMERICAN YOUTH CENTER,2017,313255
PO554251,DEPARTMENT OF EMPLOYMENT SERVICES,EDUCATIONAL TRAINING CONSULTANT SERVICES,250,2016-11-10T00:00:00.000Z,Opportunities Industrial Center,2017,313256
PO555703,DEPARTMENT OF EMPLOYMENT SERVICES,EDUCATIONAL TRAINING CONSULTANT SERVICES,500,2016-12-02T00:00:00.000Z,Opportunities Industrial Center,2017,313257
PO553937-V2,DEPARTMENT OF CORRECTIONS,FOOD SERVICE CONSULTING,44525.94,2016-12-21T00:00:00.000Z,ARAMARK CORRECTIONAL SERVICES,2017,313258
PO552663,DEPARTMENT OF TRANSPORTATION,"9064640:DESIGN SERVICES, HIGHWAY TRAFFIC",316925.72,2016-10-26T00:00:00.000Z,MODJESKI AND MASTERS INC,2017,313259
PO556197,DEPARTMENT OF HUMAN SERVICES,OUTREACH SERVICES,125000,2016-12-12T00:00:00.000Z,COMMUNITY CONNECTIONS,2017,313260
PO555138,DEPARTMENT OF HEALTH,"9667136:DRILLING SERVICES, PAPER",4500,2016-11-23T00:00:00.000Z,"Shred Ace, Inc.",2017,313261
PO556309,OFFICE OF CHIEF TECHNOLOGY OFFICER,"2046459:RACKS, COMPUTER EQUIPMENT",3811.4,2016-12-13T00:00:00.000Z,"Networking For Future, Inc.",2017,313262
PO554757,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,CATERING SERVICES,139.35,2016-11-17T00:00:00.000Z,GREAT AMERICAN CORP,2017,313263
PO550045,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9183800:Education and Training Consulting,3060,2016-10-03T00:00:00.000Z,"EDUCATIONAL NETWORKS, INC.",2017,313264
PO554312,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"3908415:CABBAGE, FRESH",19991.8,2016-11-10T00:00:00.000Z,"US FOODS, INC",2017,313265
PO554057,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"Natural Science Equipment and Supplies, Laboratory",37.4,2016-11-09T00:00:00.000Z,WARD'S NATURAL SCIENCE,2017,313266
PO553420,DEPT. OF HOUSING AND COMM. DEVELOPMENT,9466000:Loan Administration,207106.23,2016-11-02T00:00:00.000Z,KARA HOUSE COOPERATIVE INC.,2017,313267
PO554200,DEPT. OF CONSUMER AND REGULATORY AFFAIRS,"9155848:LABELING AND MAILING SERVICES, INCLUDING AFFIXING LABELS TO SELF-MAILERS OR ENVELOPES AND MAILING (LABELS AND ENVELOPES TO BE FURNISHED BY THE AGENCY/DEPT.) COST OF POSTAGE TO BE PAID DIRECT TO THE POST OFFICE BY AGENCY",60000,2016-11-09T00:00:00.000Z,UNITED STATES POSTAL SERVICE,2017,313268
PO550794,METROPOLITAN POLICE DEPARTMENT,"9204531:MAINTENANCE AND SUPPORT, SOFTWARE, MAINFRAME",29462.98,2016-10-04T00:00:00.000Z,AUDIO VISUAL INNOVATIONS INC,2017,313269
PO553878,DEPT OF SMALL & LOCAL BUSINESS DEVELOPMT,9614400:Industrial Development and Planning Services,108000,2016-11-07T00:00:00.000Z,BARRACKS ROW MAINSTREET,2017,313270
PO551074-V2,OFFICE OF THE CHIEF MEDICAL EXAMINER,9186700:Human Services Consulting (To Include Mental Health Consulting Services),77561.62,2016-10-17T00:00:00.000Z,WENDT CENTER FOR LOSS & HEAL.,2017,313271
PO554578,COUNCIL OF THE DISTRICT OF COLUMBIA,"6153301:ACCESSORIES, DESK",71.92,2016-11-16T00:00:00.000Z,LASER ART INC,2017,313272
PO555972,DEPARTMENT OF GENERAL SERVICES,OVERHEAD DOOR MAINTENANCE AND REPAIR,150000,2016-12-07T00:00:00.000Z,METROPOLITAN ROLLING DOORS INC,2017,313273
PO554534,COMMISSION ON ARTS & HUMANITIES,"9620700:Arts Services (Cultural, Design, Visual, etc.)",10100,2016-11-16T00:00:00.000Z,NORTHEAST PERFORMING ARTS GROU,2017,313274
PO553036,COMMISSION ON ARTS & HUMANITIES,"9620700:Arts Services (Cultural, Design, Visual, etc.)",19700,2016-10-28T00:00:00.000Z,MAYA ANGELOU PCS,2017,313275
PO551682,DEPARTMENT OF HEALTH,"6153301:ACCESSORIES, DESK",17000,2016-10-17T00:00:00.000Z,American Business Supplies LLC,2017,313276
PO552557,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"CARPET AND CARPET SQUARES/TILES, COMMERCIAL, BRAND LISTED OR EQUAL",266.29,2016-10-26T00:00:00.000Z,American Business Supplies LLC,2017,313277
PO545121-V2,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6150557:ADHESIVE, PASTE, WHITE, FOR PAPER",19.73,2016-11-21T00:00:00.000Z,PREMIER OFFICE & MEDICAL SUPPLY DBA: Premier Suppliers,2017,313278
PO551097,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,2085495:WEBSITE DEVELOPMENT TOOL SOFTWARE,2400,2016-10-07T00:00:00.000Z,"SCHOOLinSIES, LLC",2017,313279
PO551162-V2,OFFICE OF HUMAN RIGHTS,"9617542:TRANSLATION SERVICES, ENGLISH TO SPANISH",9000,2016-12-22T00:00:00.000Z,Stephanie Laniece Arias,2017,313280
PO550044,COMM OF JUDICIAL DISABILITIES & TENURE,9615036:DEPOSITIONS AND EXPERT WITNESS TESTIMONY,2000,2016-10-03T00:00:00.000Z,National Center for State Courts,2017,313281
PO554465,DEPARTMENT OF PUBLIC WORKS,9667600:Print-On-Demand Printing Services (Including Print and Distribute Services),45080,2016-11-15T00:00:00.000Z,The Coles Group LLC,2017,313282
PO552315,DEPARTMENT OF EMPLOYMENT SERVICES,EDUCATIONAL TRAINING CONSULTANT SERVICES,81120,2016-10-24T00:00:00.000Z,RIZEUP TECHNOLOGY TRAINING,2017,313283
PO555089,DEPARTMENT OF EMPLOYMENT SERVICES,EDUCATIONAL TRAINING CONSULTANT SERVICES,10639.36,2016-11-22T00:00:00.000Z,YMCA CAMP LETTS,2017,313284
PO550296,DEPARTMENT OF BEHAVIORAL HEALTH,"9363952:MAINTENANCE, REPAIR, PARTS AND ACCESSORIES FOR PORTABLE AND STATIONARY GENERATORS",2128,2016-10-03T00:00:00.000Z,"General Services, Inc.",2017,313285
PO554021,OFFICE OF CHIEF FINANCIAL OFFICER,"9857400:Software, Computer, Rental or Lease",7995,2016-11-08T00:00:00.000Z,MaxIT Corporation,2017,313286
PO555283,DEPARTMENT OF CORRECTIONS,9852690:RENTAL OF XEROX COPY MACHINES (XEROX OR EQUAL),6685.2,2016-11-29T00:00:00.000Z,XEROX CORPORATION,2017,313287
PO554526,COMMISSION ON ARTS & HUMANITIES,"9620700:Arts Services (Cultural, Design, Visual, etc.)",5000,2016-11-16T00:00:00.000Z,"James F. Byers, Jr.",2017,313288
PO555021,COMMISSION ON ARTS & HUMANITIES,"9620700:Arts Services (Cultural, Design, Visual, etc.)",47696,2016-11-22T00:00:00.000Z,INTERNATIONAL ART AND ARTISTS,2017,313289
PO553619,DEPARTMENT OF GENERAL SERVICES,ENVIRONMENTAL CONSULTING,168750,2016-11-03T00:00:00.000Z,FAIRNESS ENVIRONMENTAL SERVICE,2017,313290
PO529346-V3,OFFICE OF CHIEF FINANCIAL OFFICER,"9182810:CONSULTANT SERVICES, COMPUTER SYSTEMS/NETWORKING",193080.87,2016-10-25T00:00:00.000Z,"Advance Digital Systems, Inc.",2017,313291
PO554518,DEPARTMENT OF GENERAL SERVICES,JANITORIAL SERVICES,100000,2016-11-16T00:00:00.000Z,"GNT Group, LLC",2017,313292
PO551847,DEPARTMENT ON DISABILITY SERVICES,9484800:Health Care Services (Not Otherwise Classified),5000,2016-10-18T00:00:00.000Z,DAVID SNIEZEK,2017,313293
PO551791,DEPARTMENT OF HEALTH,"9487452:MEDICAL TESTING SERVICES, SPECIALIZED",10000,2016-10-18T00:00:00.000Z,PROVIDENCE HOSPITAL,2017,313294
PO557091,OFFICE OF CHIEF TECHNOLOGY OFFICER,9182930:CONSULTING SERVICES RELATED TO THE IMPLEMENTATION OF SOFTWARE,215195.84,2016-12-29T00:00:00.000Z,"AVID SYSTEMS, LLC",2017,313295
PO556620,OFFICE OF CHIEF TECHNOLOGY OFFICER,"MAINTENANCE, NETWORKING SOFTWARE",2403.84,2016-12-19T00:00:00.000Z,"DISYS SOLUTIONS, INC.",2017,313296
PO555787,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"8309500:Recycled Tanks, Accessories and Supplies",99.98,2016-12-05T00:00:00.000Z,B & H FOTO & ELECTORNICS CORP,2017,313297
PO550402,STATE SUPERINTENDENT OF EDUCATION (OSSE),"9240500:Advisory Services, Educational",4992,2016-10-03T00:00:00.000Z,Caryl Vaughan,2017,313298
PO556987,FIRE AND EMERGENCY MEDICAL SERVICES,"PRINTER SUPPLIES, DIGITAL, WIDE FORMAT PRINT SYSTEMS",599.16,2016-12-28T00:00:00.000Z,vTech Solution Inc.,2017,313299
PO554381,DEPARTMENT OF EMPLOYMENT SERVICES,EDUCATIONAL TRAINING CONSULTANT SERVICES,250,2016-12-05T00:00:00.000Z,LATIN AMERICAN YOUTH CENTER,2017,313300
PO554391,DEPARTMENT OF EMPLOYMENT SERVICES,EDUCATIONAL TRAINING CONSULTANT SERVICES,750,2016-11-14T00:00:00.000Z,Run Hope Work_1,2017,313301
PO550314,DEPARTMENT OF BEHAVIORAL HEALTH,"9187850:CONSULTING SERVICES, MEDICAL",284507.28,2016-10-03T00:00:00.000Z,"MBI HEALTH SERVICES, LLC",2017,313302
PO536814-V2,DEPARTMENT OF TRANSPORTATION,"9132700:Construction, Highway and Road",2522775,2016-10-06T00:00:00.000Z,Metropolitan Washington Council of Governments,2017,313303
PO540777-V3,OFFICE OF CHIEF TECHNOLOGY OFFICER,9189500:Telecommunications Consulting,3606.05,2016-10-03T00:00:00.000Z,SAIC_1,2017,313304
PO557097,OFFICE OF CHIEF TECHNOLOGY OFFICER,9182930:CONSULTING SERVICES RELATED TO THE IMPLEMENTATION OF SOFTWARE,203362.33,2016-12-29T00:00:00.000Z,"Networking For Future, Inc.",2017,313305
PO556497,OFFICE OF CHIEF TECHNOLOGY OFFICER,"9204520:MAINTENANCE AND LICENSE AGREEMENT SERVICES, MICROCOMPUTER SOFTWARE",2084.62,2016-12-15T00:00:00.000Z,Cradle Systems,2017,313306
PO551188-V4,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,CATERING SERVICES,155.9,2016-12-08T00:00:00.000Z,GREAT AMERICAN CORP,2017,313307
PO552947,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"8309500:Recycled Tanks, Accessories and Supplies",225,2016-10-28T00:00:00.000Z,General Merchandise Supplies,2017,313308
PO554719,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"2077550:PANEL, PROJECTION, FOR USE WITH OVERHEAD PROJECTOR AND COMPUTER",10122,2016-11-17T00:00:00.000Z,"HI-TECH SOLUTION, INC.",2017,313309
PO537143-V5,DEPARTMENT OF FORENSICS SCIENCES,9614000:Forensic Services,25000,2016-10-06T00:00:00.000Z,"RON SMITH & ASSOCIATES, INC.",2017,313310
PO554437,DEPARTMENT OF EMPLOYMENT SERVICES,EDUCATIONAL TRAINING CONSULTANT SERVICES,350,2016-11-15T00:00:00.000Z,Run Hope Work_1,2017,313311
PO556012,DEPARTMENT OF BEHAVIORAL HEALTH,"Professional Services, Subcontractor and Contractor >25000",2,2016-12-07T00:00:00.000Z,"21st Century Security, LLC",2017,313312
PO552782,COMMISSION ON ARTS & HUMANITIES,"9620700:Arts Services (Cultural, Design, Visual, etc.)",11200,2016-10-27T00:00:00.000Z,The Andrew Keegan Theatre,2017,313313
PO552518,DEPARTMENT OF TRANSPORTATION,9582600:Construction Management Services,641082.7,2016-10-26T00:00:00.000Z,MCKISSACK & MCKISSACK OF WASH,2017,313314
PO556124-V2,OFFICE OF CHIEF TECHNOLOGY OFFICER,"MAINTENANCE, NETWORKING SOFTWARE",9239.13,2016-12-09T00:00:00.000Z,Dell Computer Corp.,2017,313315
PO548001-V2,OFFICE OF CHIEF TECHNOLOGY OFFICER,"9204520:MAINTENANCE AND LICENSE AGREEMENT SERVICES, MICROCOMPUTER SOFTWARE",1449.78,2016-10-27T00:00:00.000Z,SAIC_1,2017,313316
PO550167-V2,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,EDUCATIONAL/TRAINING,10000,2016-11-07T00:00:00.000Z,READING PARTNERS,2017,313317
PO551401,DEPARTMENT OF EMPLOYMENT SERVICES,9525900:Human Services (Not Otherwise Classified),4000,2016-10-13T00:00:00.000Z,"ASM EDUCATIONAL CENTER, INC",2017,313318
PO554220,DEPARTMENT OF EMPLOYMENT SERVICES,9525900:Human Services (Not Otherwise Classified),4000,2016-11-10T00:00:00.000Z,"ASM EDUCATIONAL CENTER, INC",2017,313319
PO551228,OFFICE OF THE ATTORNEY GENERAL,MANAGEMENT CONSULTING SERVICES,176194.08,2016-10-12T00:00:00.000Z,AUCTOR CORPORATION,2017,313320
PO551109,OFFICE OF THE ATTORNEY GENERAL,9612458:PROFESSIONAL COURT REPORTER SERVICES,45,2016-10-07T00:00:00.000Z,NEAL R GROSS & CO INC,2017,313321
PO551884,OFFICE OF THE ATTORNEY GENERAL,9615036:DEPOSITIONS AND EXPERT WITNESS TESTIMONY,2800,2016-10-19T00:00:00.000Z,DANIEL WILLIAM WEBSTER,2017,313322
PO553834,COMMISSION ON ARTS & HUMANITIES,"9620700:Arts Services (Cultural, Design, Visual, etc.)",5000,2016-11-04T00:00:00.000Z,Kathryn McDonnell,2017,313323
PO552350,DEPARTMENT OF HEALTH,9613065:EMPLOYMENT AGENCY SERVICES. THE CONTRACTOR SHALL PROVIDE THE SERVICES OF THE TEMPORARY PERSONNEL AS SPECIFIED BY THE STATE.,15900,2016-10-24T00:00:00.000Z,MIDTOWN PERSONNEL INC,2017,313324
PO555894,OFFICE OF CHIEF TECHNOLOGY OFFICER,"2851065:RACKS, CABLE",39.6,2016-12-06T00:00:00.000Z,GRAYBAR ELECTRIC CO INC,2017,313325
PO554015,OFFICE OF CHIEF TECHNOLOGY OFFICER,"9204531:MAINTENANCE AND SUPPORT, SOFTWARE, MAINFRAME",1563.91,2016-11-08T00:00:00.000Z,DLT SOLUTIONS INC,2017,313326
PO554009,OFFICE OF CHIEF TECHNOLOGY OFFICER,"9204531:MAINTENANCE AND SUPPORT, SOFTWARE, MAINFRAME",136.32,2016-11-08T00:00:00.000Z,DLT SOLUTIONS INC,2017,313327
PO556569,OFFICE OF CHIEF TECHNOLOGY OFFICER,"9204520:MAINTENANCE AND LICENSE AGREEMENT SERVICES, MICROCOMPUTER SOFTWARE",21112.52,2016-12-16T00:00:00.000Z,DLT SOLUTIONS INC,2017,313328
PO554480,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"SUPPLIES, SCHOOL, VARIOUS (NOT OTHERWISE CLASSIFIED)",219.78,2016-11-15T00:00:00.000Z,AMERICAN EXPRESS COMPANY,2017,313329
PO555053,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"SUPPLIES, SCHOOL, VARIOUS (NOT OTHERWISE CLASSIFIED)",23.2,2016-11-22T00:00:00.000Z,AMERICAN EXPRESS COMPANY,2017,313330
PO553748,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,EDUCATIONAL/TRAINING,14000,2016-11-04T00:00:00.000Z,READING PARTNERS,2017,313331
